Votes for Registered Parties by Electorate,,,,,,,,,,,,,,,,,,,
,XX,,,,,,,,,,,,,,,,,,
Papakura,4264,61,162,62,210,2710,8893,11,22042,55,19,2238,418,260,451,542,33,42431,225
Port Waikato,5107,94,177,232,150,2486,7918,25,21277,66,22,3146,552,229,381,508,29,42399,258
Rangitata,4082,62,211,123,68,2351,10660,75,18167,148,55,3010,586,148,156,522,37,40461,188
Rangitīkei,5655,82,206,142,97,3061,8993,30,17018,73,24,3768,622,260,577,630,35,41273,150
Remutaka,2476,96,177,55,147,5068,16000,13,12726,71,12,2441,261,500,511,1147,35,41736,410
Rongotai,1680,85,153,21,61,13664,13361,6,9088,35,13,1411,126,67,1006,1792,46,42615,206
Rotorua,3543,54,177,107,233,2885,8922,28,15317,50,35,2835,618,491,851,638,33,36817,216
Selwyn,5895,91,184,89,62,4340,8805,41,23959,136,30,2633,430,225,235,1311,39,48505,119
Southland,5412,65,217,60,91,3482,6546,20,19222,32,35,2258,974,246,190,810,28,39688,148
Taieri,3345,75,200,66,57,4581,14507,23,14206,32,11,3259,477,207,245,929,39,42259,247
Takanini,2202,82,108,32,208,2277,11181,16,21056,68,14,1267,135,299,440,333,25,39743,320
Tāmaki,5172,51,88,34,47,4582,7009,6,21916,29,6,1198,167,82,288,980,28,41683,128
Taranaki-King Country,5484,66,165,77,137,2828,7022,43,19281,104,31,3398,800,229,494,645,32,40836,209
Taupō,4960,50,178,75,134,2773,9686,36,19966,66,20,3508,961,208,567,644,26,43858,170
Tauranga,4471,85,124,66,171,3766,7664,24,19345,101,39,3753,470,463,440,935,35,41952,162
Te Atatū,2412,67,151,37,106,4199,12460,16,14045,67,25,1681,282,354,588,603,40,37133,255
Tukituki,5117,68,228,71,123,3284,10518,35,17165,64,14,2550,620,432,410,587,39,41325,264
Upper Harbour,3483,48,141,33,92,3872,9314,12,20689,93,4,1671,275,207,328,884,31,41177,248
Waikato,5294,77,190,86,142,2376,7612,28,21749,102,19,3319,721,238,415,742,36,43146,196
Waimakariri,4941,102,179,461,82,3996,11317,302,19969,108,20,3285,440,199,238,1034,48,46721,142
Wairarapa,4752,81,207,72,93,3676,12223,35,17397,58,32,3655,1027,156,455,708,47,44674,199
Waitaki,5473,64,158,281,61,4014,9575,33,19281,72,10,3103,902,281,182,873,30,44393,220
Wellington Central,2075,61,136,18,32,17332,11436,11,9855,31,14,1029,80,57,1106,2536,54,45863,126
West Coast-Tasman,5488,99,281,136,289,4521,9970,40,14042,63,19,4154,1489,254,290,792,46,41973,236
Whanganui,3749,99,214,77,88,2980,11002,20,14567,105,17,4494,544,315,602,463,30,39366,210
Whangaparāoa,5627,91,131,157,92,3584,7202,29,25091,65,16,2952,630,460,222,770,36,47155,120
Whangārei,3954,77,249,352,110,4075,9698,32,16441,55,35,5673,905,336,591,730,35,43348,286
Wigram,2465,95,201,65,59,5634,11249,66,13401,104,29,1922,253,189,316,1783,37,37868,196
General Electorate Totals,244245,4817,10754,6507,7579,312919,682622,1983,1076077,4441,1483,165002,32273,15127,29607,61675,2363,2659474,13222
Hauraki-Waikato,294,14,254,23,323,1893,11508,11,1292,15,8,974,310,128,8503,186,19,25755,497
Ikaroa-Rāwhiti,209,26,280,26,169,1802,14775,9,964,18,9,927,257,180,6722,138,18,26529,436
Tāmaki Makaurau,254,27,246,28,478,3229,11571,7,1269,13,2,927,174,121,8046,248,25,26665,373
Te Tai Hauāuru,284,32,299,31,219,2091,11123,18,1248,17,6,1140,351,137,9529,178,20,26723,461
Te Tai Tokerau,307,28,468,72,245,2731,12653,12,1545,10,6,1917,401,161,7690,211,16,28473,410
Te Tai Tonga,659,50,479,68,156,4605,10396,50,2453,11,12,1557,471,122,6447,549,22,28107,302
Waiariki,221,24,245,31,417,1637,12892,15,1003,7,4,1109,241,150,11300,159,30,29485,566
Māori Electorate Totals,2228,201,2271,279,2007,17988,84918,122,9774,91,47,8551,2205,999,58237,1669,150,191737,3045
Combined Totals,246473,5018,13025,6786,9586,330907,767540,2105,1085851,4532,1530,173553,34478,16126,87844,63344,2513,2851211,16267
